Heuristique; Type-Move; data1; data2; data3
0.333333;Normal;63;53;1684300872057598332960768
-0.333333;Normal;13;33;27
-7.10543e-15;Normal;64;54;1404364806255617
-0.333333;Split;01;22;20
0.333333;Split;73;55;46
0.166667;Split;02;57;46
1.5;Normal;55;46;16777216281474976710656
3;Normal;57;66;01
3.33333;Split;46;55;73
3.58333;Split;22;41;30
5.91667;Normal;55;33;1404364806255611
-5.08333;Normal;03;33;02
-4.75;Normal;62;42;1404364806255612
-4.41667;Normal;33;22;51
-4.33333;Normal;61;41;1404364806255610
-4.33333;Normal;20;41;27
-4.33333;Normal;60;50;21
-4.33333;Split;00;02;03
-4;Normal;65;55;165792
-4;Split;02;03;00
-4;Normal;66;46;165792
-4;Split;00;01;03
-3.66667;Normal;53;43;1281474976776448
-3.66667;Normal;03;02;02
-3.33333;Normal;54;44;1404364806255610
-3.33333;Split;00;02;01
-3.33333;Normal;72;27;63
-3.33333;Split;00;02;03
-2.66667;Split;72;45;36
-3;Normal;30;51;21
-2;Normal;45;12;45
-2.0625;Split;03;01;23
-2.22917;Split;12;30;21
-2.23958;Split;02;12;01
-2.07292;Split;21;32;30
-6.73958;Normal;51;70;13
-6.40625;Normal;75;64;64
-8.73958;Normal;22;44;02
-10.4896;Normal;32;21;32
-13.1562;Normal;44;64;13
-13.1562;Normal;30;03;32
-20;Normal;64;74;13
